# rmin,xti,xdi,xte,xdz,xvt,xvp,xtiW20,xdiW20,xteW20,xtiDBM,xdiDBM,xteDBM,xteETG,xteMTM,xteETGM,xdiETGM,gmaW20ii,omgW20ii,gmaW20ie,omgW20ie,gmaW20ei,omgW20ei,gmaW20ee,omgW20ee,gmaDBM,omgDBM,gmaMTM,omgMTM,gmaETGM,omgETGM,dbsqprf
# m,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1
2.8539e-01,1.6770e+00,8.3340e-01,6.5650e+00,8.2890e+00,1.6070e+00,1.5140e+00,1.6770e+00,8.3340e-01,2.3160e+00,1.7620e-11,2.6710e-11,2.3700e-11,1.9230e-01,1.3330e-01,3.9230e+00,0.0000e+00,4.6010e+04,-1.7660e+05,2.7270e+04,3.3230e+05,4.0660e+04,-2.5030e+05,4.7920e+04,3.5480e+05,8.3180e+00,-5.3520e+05,1.0650e+05,1.4420e+05,3.7470e+05,3.1620e+05,1.7130e-09
2.9816e-01,2.0330e+00,9.0080e-01,5.9750e+00,2.5120e+00,4.6050e+00,8.2110e-01,2.0330e+00,9.0080e-01,2.1910e+00,2.0290e-11,3.6950e-11,2.9190e-11,2.4180e-01,9.8840e-02,3.4430e+00,0.0000e+00,9.8820e+04,-4.1520e+05,2.2930e+04,3.3360e+05,4.4170e+04,-2.4640e+05,4.6150e+04,3.4760e+05,1.0940e+01,-2.6310e+06,1.0680e+05,1.4100e+05,3.5060e+05,3.3460e+05,1.2350e-09
3.1080e-01,3.5990e+00,7.3720e-01,5.5190e+00,3.6860e+00,8.2670e+00,1.4840e+00,3.5990e+00,7.3720e-01,2.1790e+00,2.2330e-11,5.2130e-11,3.7020e-11,2.9650e-01,6.9750e-02,2.9740e+00,0.0000e+00,1.2640e+05,-4.0460e+05,2.3570e+04,3.2980e+05,4.7880e+04,-2.4390e+05,4.4240e+04,3.4070e+05,1.5420e+01,-2.5470e+06,1.0360e+05,1.3370e+05,3.2600e+05,3.5350e+05,8.4600e-10
3.2328e-01,3.9850e+00,5.0630e-01,5.0910e+00,3.6880e+00,9.2330e+00,1.6620e+00,3.9850e+00,5.0630e-01,2.1360e+00,2.3950e-11,7.4770e-11,5.1160e-11,3.5550e-01,4.8230e-02,2.5510e+00,0.0000e+00,1.3350e+05,-3.9720e+05,2.4160e+04,3.2590e+05,5.0800e+04,-2.4210e+05,4.2850e+04,3.3480e+05,2.1410e+01,-2.4570e+06,9.7180e+04,1.2370e+05,3.0320e+05,3.7100e+05,5.6710e-10
3.3560e-01,3.7070e+00,3.7110e-01,4.7590e+00,3.2190e+00,8.9000e+00,1.5360e+00,3.7070e+00,3.7110e-01,2.1130e+00,2.5790e-11,1.0310e-10,8.0070e-11,4.1920e-01,3.4350e-02,2.1930e+00,0.0000e+00,1.3050e+05,-3.8910e+05,2.4930e+04,3.2170e+05,5.2090e+04,-2.3990e+05,4.2320e+04,3.2970e+05,2.9320e+01,-2.3560e+06,8.9000e+04,1.1360e+05,2.8350e+05,3.8550e+05,3.9090e-10
3.4774e-01,3.1510e+00,4.4210e-01,4.5380e+00,2.6410e+00,8.1110e+00,1.2870e+00,3.1510e+00,4.4210e-01,2.1270e+00,2.9160e-11,1.1180e-10,1.4140e-10,4.8940e-01,2.6450e-02,1.8950e+00,0.0000e+00,1.2190e+05,-3.7930e+05,2.5920e+04,3.1740e+05,5.1480e+04,-2.3630e+05,4.2550e+04,3.2530e+05,3.9680e+01,-2.2460e+06,8.1040e+04,1.0520e+05,2.6680e+05,3.9680e+05,2.9080e-10
3.5969e-01,2.4940e+00,7.1950e-01,4.3930e+00,2.0560e+00,7.1980e+00,1.0010e+00,2.4940e+00,7.1950e-01,2.1610e+00,3.6610e-11,1.7230e-11,2.7130e-10,5.6680e-01,2.2110e-02,1.6440e+00,0.0000e+00,1.0940e+05,-3.6780e+05,2.7010e+04,3.1300e+05,4.9330e+04,-2.3170e+05,4.3150e+04,3.2120e+05,5.3190e+01,-2.1320e+06,7.4180e+04,9.9000e+04,2.5210e+05,4.0560e+05,2.3450e-10
3.7143e-01,1.8200e+00,1.1240e+00,4.2640e+00,1.4910e+00,6.2680e+00,7.1670e-01,1.8200e+00,1.1240e+00,2.1800e+00,5.3010e-11,0.0000e+00,5.4280e-10,6.4770e-01,1.8990e-02,1.4170e+00,0.0000e+00,9.4220e+04,-3.5550e+05,2.7930e+04,3.0860e+05,4.6290e+04,-2.2690e+05,4.3630e+04,3.1720e+05,7.0670e+01,-2.0220e+06,6.7210e+04,9.3420e+04,2.3800e+05,4.1300e+05,1.9410e-10
3.8297e-01,1.1520e+00,1.1730e+00,3.3820e+00,9.5060e-01,5.3800e+00,4.5150e-01,1.1520e+00,1.1730e+00,2.0040e+00,8.5390e-11,0.0000e+00,1.0990e-09,1.6220e-01,1.5100e-02,1.2000e+00,0.0000e+00,7.6790e+04,-3.4310e+05,2.8350e+04,3.0430e+05,5.4180e+04,-2.2280e+05,4.1950e+04,3.1080e+05,9.3060e+01,-1.9240e+06,5.6860e+04,8.6370e+04,2.2300e+05,4.2020e+05,1.4860e-10
3.9427e-01,5.3890e-01,2.4440e+01,2.9810e+00,4.7810e-01,4.5480e+00,2.2710e-01,5.3890e-01,1.4420e+00,1.7780e+00,1.3630e-10,8.0850e-09,2.2210e-09,2.0620e-01,9.8470e-03,9.8730e-01,2.3000e+01,5.4500e+04,-3.3210e+05,2.7880e+04,3.0010e+05,6.3650e+04,-2.2540e+05,3.9390e+04,3.0490e+05,1.2150e+02,-1.8420e+06,3.6930e+04,8.1180e+04,2.0650e+05,4.2780e+05,9.3170e-11
