# rmin,xti,xdi,xte,xdz,xvt,xvp,xtiW20,xdiW20,xteW20,xtiDBM,xdiDBM,xteDBM,xteETG,xteMTM,xteETGM,xdiETGM,gmaW20ii,omgW20ii,gmaW20ie,omgW20ie,gmaW20ei,omgW20ei,gmaW20ee,omgW20ee,gmaDBM,omgDBM,gmaMTM,omgMTM,gmaETGM,omgETGM,dbsqprf
# m,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,,
7.9948e-02,0.0000e+00,3.2660e-02,1.1840e-01,7.8700e-05,9.7000e-04,9.3740e-04,0.0000e+00,3.2660e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.1840e-01,0.0000e+00,0.0000e+00,3.1450e+03,-1.6360e+05,1.3300e+04,2.6410e+05,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,3.2510e+01,9.3880e+02,0.0000e+00,0.0000e+00,6.3020e-09
8.4362e-02,0.0000e+00,4.7580e-02,1.2370e-01,2.5210e-04,1.7190e-03,1.6620e-03,0.0000e+00,4.7580e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.2370e-01,0.0000e+00,0.0000e+00,3.7890e+03,-1.6320e+05,1.3770e+04,1.9430e+04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,4.1720e+01,9.8560e+02,0.0000e+00,0.0000e+00,6.5840e-09
8.8727e-02,0.0000e+00,6.4480e-02,1.2850e-01,5.2100e-04,2.7400e-03,2.6490e-03,0.0000e+00,6.4480e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.2850e-01,0.0000e+00,0.0000e+00,4.4040e+03,-1.6270e+05,1.3880e+04,1.9280e+04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,5.2640e+01,1.0300e+03,0.0000e+00,0.0000e+00,6.8310e-09
9.3050e-02,0.0000e+00,8.2400e-02,1.3250e-01,8.5450e-04,4.0050e-03,3.8720e-03,0.0000e+00,8.2400e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3250e-01,0.0000e+00,0.0000e+00,4.9720e+03,-1.6200e+05,1.3890e+04,1.8830e+04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,6.5490e+01,1.1300e+03,0.0000e+00,0.0000e+00,7.0410e-09
9.7338e-02,0.0000e+00,1.0010e-01,1.3570e-01,1.1760e-03,5.4330e-03,5.2540e-03,0.0000e+00,1.0010e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3570e-01,0.0000e+00,0.0000e+00,5.4730e+03,-1.6110e+05,1.3750e+04,1.8070e+04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,8.0630e+01,1.5250e+03,0.0000e+00,0.0000e+00,7.2030e-09
1.0160e-01,0.0000e+00,1.1230e-01,1.3790e-01,1.2900e-03,6.5290e-03,6.3150e-03,0.0000e+00,1.1230e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3790e-01,0.0000e+00,0.0000e+00,5.7880e+03,-1.6020e+05,1.3530e+04,1.7160e+04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,9.8640e+01,2.4270e+03,0.0000e+00,0.0000e+00,7.3130e-09
1.0583e-01,0.0000e+00,1.1430e-01,1.3860e-01,1.0400e-03,6.7160e-03,6.4970e-03,0.0000e+00,1.1430e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3860e-01,0.0000e+00,0.0000e+00,5.8240e+03,-1.5980e+05,1.3400e+04,1.6270e+04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.2610e+02,1.2100e+04,0.0000e+00,0.0000e+00,7.3440e-09
1.1005e-01,0.0000e+00,1.0320e-01,1.3800e-01,4.8620e-04,5.7060e-03,5.5210e-03,0.0000e+00,1.0320e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3800e-01,0.0000e+00,0.0000e+00,5.5170e+03,-1.6010e+05,1.3520e+04,1.5520e+04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.8190e+02,1.9200e+04,0.0000e+00,0.0000e+00,7.3040e-09
1.1424e-01,0.0000e+00,8.6280e-02,1.3640e-01,-5.8100e-05,4.2880e-03,4.1520e-03,0.0000e+00,8.6280e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3640e-01,0.0000e+00,0.0000e+00,5.0250e+03,-1.6070e+05,1.3620e+04,1.4670e+04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,2.6100e+02,2.3960e+04,0.0000e+00,0.0000e+00,7.2140e-09
1.1842e-01,0.0000e+00,6.9360e-02,1.3390e-01,-4.4900e-04,3.0200e-03,2.9250e-03,0.0000e+00,6.9360e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3390e-01,0.0000e+00,0.0000e+00,4.4880e+03,-1.6170e+05,1.3540e+04,1.3610e+04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,3.5570e+02,2.7580e+04,0.0000e+00,0.0000e+00,7.0720e-09
